NO,名称,名称_カナ,住所,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL
1,本山小学校,モトヤマショウガッコウ,山陽小野田市大字小野田482,33.94821886,131.1725561,22.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,253,本山,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
2,本山公民館,モトヤマコウミンカン,山陽小野田市大字小野田275-2,33.94190827,131.1739417,12.4,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,1,140,本山,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
3,本山コミュニティ体育館,モトヤマコミュニティタイイクカン,山陽小野田市大字小野田275-3,33.94215304,131.1731961,9.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,1,261,本山,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
4,竜王山,リュウオウザン,山陽小野田市大字小野田1261,33.95597563,131.1683952,132.2,0836-82-1111,116,352161,山口県,山陽小野田市,,,,1,1,1,,1,,,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
5,赤崎小学校,アカサキショウガッコウ,山陽小野田市大字小野田4402,33.95922972,131.1755639,3.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,274,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
6,赤崎公民館,アカサキコウミンカン,山陽小野田市赤崎1-1-1,33.96433322,131.1735118,2.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,,,1,1,1,288,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
7,竜王中学校,リュウオウチュウガッコウ,山陽小野田市大字小野田3923,33.95926348,131.1830447,13.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,810,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
8,山口東京理科大学（体育館）,ヤマグチトウキョウリカダイガク（タイイクカン）,山陽小野田市大学通1-1-1,33.95750606,131.1886976,3.5,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,,1,,,1,1,,508,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
9,商工センター,ショウコウセンター,山陽小野田市大字中央2-3-1,33.97908529,131.1770036,1.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,,,1,1,,344,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
10,須恵小学校,スエショウガッコウ,山陽小野田市大字小野田5258,33.97198535,131.1817279,3.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,367,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
11,小野田中学校,オノダチュウガッコウ,山陽小野田市大字丸河内1018,33.98108694,131.1852276,16.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,794,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
12,須恵公民館,スエコウミンカン,山陽小野田市中央4-4-1,33.97583842,131.1794791,1.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,,,1,1,1,130,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
13,須恵コミュニティ体育館,スエコミュニティタイイクカン,山陽小野田市須恵1-1-1,33.97508412,131.1793097,2.6,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,,,1,1,1,283,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
14,小野田工業高等学校（体育館）,オノダコウギョウコウトウガッコウ（タイイクカン）,山陽小野田市中央2-6-1,33.97914019,131.1779959,1.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,,1,,,1,1,,441,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
15,須恵健康公園,スエケンコウコウエン,山陽小野田市須恵1-1-1,33.97504189,131.180362,2.8,0836-82-1111,116,352161,山口県,山陽小野田市,,,,1,,1,,1,,,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
16,中央福祉センター,チュウオウフクシセンター,山陽小野田市千代町1-2-28,33.98271669,131.1809995,2.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,,,1,1,,237,小野田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
17,小野田小学校,オノダショウガッコウ,山陽小野田市中川3-2-1,33.98696046,131.1761173,1.5,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,,1,1,1,1,301,小野田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
18,市民館,シミンカン,山陽小野田市栄町9-25,33.9909779,131.1752549,2.2,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,,,1,1,1,805,小野田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
19,市民体育館,シミンタイイクカン,山陽小野田市中川5-2-1,33.99088899,131.1739313,1.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,,,1,1,1,828,小野田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
20,高泊小学校,タカトマリショウガッコウ,山陽小野田市大字西高泊923,34.007143,131.1647263,15.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,255,高泊,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
21,高泊公民館,タカトマリコウミンカン,山陽小野田市大字西高泊2274-1,34.0063469,131.1533571,1.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,,1,,,1,1,1,87,高泊,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
22,高泊コミュニティ体育館,タカトマリコミュニティタイイクカン,山陽小野田市大字西高泊2274-1,34.0060067,131.1533187,2.2,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,,1,,,1,1,1,261,高泊,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
23,高千帆公民館,タカチホコウミンカン,山陽小野田市日の出3-11-11,34.00761566,131.1829997,1.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,,,1,1,,282,高千帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
24,高千帆福祉会館,タカチホフクシカイカン,山陽小野田市日の出3-14-1,34.00737645,131.1821463,1.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,,,1,1,1,115,高千帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
25,山陽小野田市役所,サンヨウオノダシヤクショ,山陽小野田市日の出1-1-1,34.00305068,131.1818559,1.4,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,,,1,1,,130,高千帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
26,小野田高等学校（体育館）,オノダコウトウガッコウ（タイイクカン）,山陽小野田市くし山1-26-1,34.01036491,131.1871189,14.2,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,,641,高千帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
27,高千帆小学校,タカチホショウガッコウ,山陽小野田市くし山1-25-1,34.01011144,131.1843723,11.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,248,高千帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
28,高千帆中学校,タカチホチュウガッコウ,山陽小野田市くし山2-8-1,34.01348648,131.1868883,17.3,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,793,高千帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
29,サビエル高等学校（体育館）,サビエルコウトウガッコウ（タイイクカン）,山陽小野田市くし山3-5-1,34.01581201,131.1884386,17.4,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,,330,高千帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
30,有帆小学校,アリホショウガッコウ,山陽小野田市新有帆町4-1,34.01904322,131.2015891,4.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,265,有帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
31,有帆児童館,アリホジドウカン,山陽小野田市新有帆町1-14,34.01815892,131.2027595,5.3,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,,63,有帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
32,有帆公民館,アリホコウミンカン,山陽小野田市新有帆町1-1,34.01696997,131.2025972,5.2,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,1,88,有帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
33,有帆コミュニティ体育館,アリホコミュニティタイイクカン,山陽小野田市新有帆町1-1,34.01730789,131.2027474,5.1,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,1,261,有帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
34,江汐公園管理棟,エジオコウエンカンリトウ,山陽小野田市大字高畑401-1,34.03380411,131.1919087,24.4,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,,150,有帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
35,江汐公園,エジオコウエン,山陽小野田市大字高畑401-1,34.03328547,131.1929261,20.2,0836-82-1111,116,352161,山口県,山陽小野田市,,,,1,1,1,,1,,,有帆,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
36,森広会館,モリヒロカイカン,山陽小野田市大字厚狭2696-2,34.08808351,131.1990542,80.5,0836-82-1111,116,352161,山口県,山陽小野田市,1,,1,,1,,1,1,,40,厚狭,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
37,川上会館,カワカミカイカン,山陽小野田市大字厚狭4411,34.10160446,131.1808764,35.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,,1,,1,,1,1,,40,厚狭,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
38,福正寺自治会館,フクショウジジチカイカン,山陽小野田市大字鴨庄1102-4,34.07691123,131.1677142,27.3,0836-82-1111,116,352161,山口県,山陽小野田市,1,,1,,1,,1,1,,25,厚狭,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
39,厚狭地区複合施設,アサチクフクゴウシセツ,山陽小野田市大字鴨庄94,34.05635164,131.1601609,6.3,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,1,471,厚狭,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
40,厚狭小学校,アサショウガッコウ,山陽小野田市大字厚狭897,34.05686866,131.169318,9.3,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,397,厚狭,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
41,厚狭高等学校南校舎（体育館）,アサコウトウガッコウミナミコウシャ（タイイクカン）,山陽小野田市大字郡475,34.05119945,131.1709156,13.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,,663,厚狭,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
42,不二輸送機ホール(文化会館)小ホール,フジユソウキホール（フンカカイカン）ショウホール,山陽小野田市大字郡1754,34.05126257,131.1578447,6.1,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,,131,厚狭,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
43,妙徳寺,ミョウトクジ,山陽小野田市大字郡768,34.04401122,131.1622603,14.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,,1,,1,,1,1,,110,厚狭,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
44,厚狭中学校,アサチュウガッコウ,山陽小野田市大字山川829,34.06046356,131.150517,22.5,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,387,出合,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
45,出合公民館,デアイコウミンカン,山陽小野田市大字山野井1601-20,34.05849022,131.1375781,18.6,0836-82-1111,116,352161,山口県,山陽小野田市,1,,1,,1,,1,1,1,116,出合,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
46,石丸総合館,イシマルソウゴウカン,山陽小野田市大字山川345-2,34.04992358,131.148043,23.3,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,1,,1,1,,139,出合,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
47,鳥越福祉会館,トリゴエフクシカイカン,山陽小野田市大字郡2839-3,34.03019502,131.1489451,4,0836-82-1111,116,352161,山口県,山陽小野田市,,1,,1,,,,1,,36,厚陽,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
48,厚陽中学校体育館,コウヨウチュウガッコウタイイクカン,山陽小野田市大字郡3250,34.02228266,131.1454302,11.5,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,256,厚陽,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
49,厚陽小・中学校,コウヨウショウ・チュウガッコウ,山陽小野田市大字郡3492,34.01962581,131.1415354,5.1,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,,1,,1,1,1,1,252,厚陽,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
50,西福寺,サイフクジ,山陽小野田市大字郡4737,34.00824239,131.1334184,6.3,0836-82-1111,116,352161,山口県,山陽小野田市,1,,1,,1,,1,1,,80,厚陽,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
51,津布田小学校,ツブタショウガッコウ,山陽小野田市大字津布田1028-1,34.02077723,131.1124334,11.5,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,248,埴生・津布田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
52,森本集会所,モリモトシュウカイショ,山陽小野田市大字津布田2280,34.03119015,131.1051307,15.4,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,1,,1,1,,18,埴生・津布田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
53,埴生中学校,ハブチュウガッコウ,山陽小野田市大字埴生283,34.04034993,131.0933661,11.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,372,埴生・津布田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
54,埴生公民館,ハブコウミンカン,山陽小野田市大字埴生525-1,34.04040381,131.0916434,5.3,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,1,,1,1,1,125,埴生・津布田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
55,埴生小学校,ハブショウガッコウ,山陽小野田市大字埴生1996,34.04108627,131.0857119,10.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,294,埴生・津布田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
56,福田公会堂,フクダコウカイドウ,山陽小野田市大字福田629,34.0653219,131.101953,41.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,,1,,1,,1,1,,32,埴生・津布田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
57,長生園,チョウセイエン,山陽小野田市大字埴生2156-2,34.04421195,131.0756405,9.5,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,1,,1,1,,40,埴生・津布田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
58,サンライフ山陽,サンライフサンヨウ,山陽小野田市大字埴生2156,34.04475868,131.0765685,9.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,,115,埴生・津布田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
