教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード,住所_全国地方公共団体コード,住所_町字ID,住所_都道府県,住所_市区町村（郡）,住所_建物名等(方書)
A135210000270,A1,35,2,山陽小野田市,1,,,埴生幼稚園,ハブヨウチエン,,山口県山陽小野田市,大字埴生,972[sanitize]1,7570012,34.04036893467955,131.08616014576052,,,2020[sanitize]12[sanitize]22,,356984,,352161,,山口県,山陽小野田市,
B135210001516,B1,35,2,山陽小野田市,1,,,有帆小学校,アリホショウガッコウ,,山口県山陽小野田市,新有帆町,4[sanitize]1,7560010,34.01956101094036,131.20145312087578,,,2020[sanitize]12[sanitize]22,,350231,,352161,,山口県,山陽小野田市,
B135210001525,B1,35,2,山陽小野田市,1,,,高千帆小学校,タカチホショウガッコウ,,山口県山陽小野田市,くし山1丁目,25[sanitize]1,7560080,34.01097719167317,131.18413796562928,,,2020[sanitize]12[sanitize]22,,350232,,352161,,山口県,山陽小野田市,
B135210001534,B1,35,2,山陽小野田市,1,,,高泊小学校,タカトマリショウガッコウ,,山口県山陽小野田市,大字西高泊,923,7560057,34.00756430423566,131.16456933621598,,,2020[sanitize]12[sanitize]22,,350233,,352161,,山口県,山陽小野田市,
B135210001543,B1,35,2,山陽小野田市,1,,,小野田小学校,オノダショウガッコウ,,山口県山陽小野田市,中川3丁目,2[sanitize]1,7560806,33.98721880560205,131.17652639946715,,,2020[sanitize]12[sanitize]22,,350234,,352161,,山口県,山陽小野田市,
B135210001552,B1,35,2,山陽小野田市,1,,,須恵小学校,スエショウガッコウ,,山口県山陽小野田市,大字小野田,5258,7560831,33.97226911084377,131.18192091907068,,,2020[sanitize]12[sanitize]22,,350235,,352161,,山口県,山陽小野田市,
B135210001561,B1,35,2,山陽小野田市,1,,,赤崎小学校,アカサキショウガッコウ,,山口県山陽小野田市,大字小野田,4402,7560887,33.95881746132233,131.17515736223714,,,2020[sanitize]12[sanitize]22,,350236,,352161,,山口県,山陽小野田市,
B135210001570,B1,35,2,山陽小野田市,1,,,本山小学校,モトヤマショウガッコウ,,山口県山陽小野田市,大字小野田,482,7560817,33.948078973827585,131.17239316476045,,,2020[sanitize]12[sanitize]22,,350237,,352161,,山口県,山陽小野田市,
B135210001589,B1,35,2,山陽小野田市,2,B135210001561,赤崎小学校,赤崎小学校松原分校,アカサキショウガッコウマツバラブンコウ,,山口県山陽小野田市,大字小野田,4402,7560887,33.95845983630766,131.17513923472825,,,2020[sanitize]12[sanitize]22,,350238,,352161,,山口県,山陽小野田市,
B135210002588,B1,35,2,山陽小野田市,1,,,厚狭小学校,アサショウガッコウ,,山口県山陽小野田市,大字厚狭,897[sanitize]2,7570001,34.0572764022327,131.16943556874142,,,2020[sanitize]12[sanitize]22,,350591,,352161,,山口県,山陽小野田市,
B135210002597,B1,35,2,山陽小野田市,1,,,厚陽小学校,コウヨウショウガッコウ,,山口県山陽小野田市,大字郡,3491[sanitize]2,7570002,34.0199471104933,131.14164609833333,,,2020[sanitize]12[sanitize]22,,350594,,352161,,山口県,山陽小野田市,
B135210002604,B1,35,2,山陽小野田市,1,,,出合小学校,デアイショウガッコウ,,山口県山陽小野田市,大字山野井,2816,7570003,34.05827417897578,131.14010450773645,,,2020[sanitize]12[sanitize]22,,350595,,352161,,山口県,山陽小野田市,
B135210002613,B1,35,2,山陽小野田市,1,,,埴生小学校,ハブショウガッコウ,,山口県山陽小野田市,大字埴生,280,7570012,34.040132036368554,131.09393486850254,,,2020[sanitize]12[sanitize]22,,350596,,352161,,山口県,山陽小野田市,
C135210000873,C1,35,2,山陽小野田市,1,,,高千帆中学校,タカチホチュウガッコウ,,山口県山陽小野田市,くし山2丁目,8[sanitize]1,7560080,34.013703360102916,131.1870274662076,,,2020[sanitize]12[sanitize]22,,353751,,352161,,山口県,山陽小野田市,
C135210000882,C1,35,2,山陽小野田市,1,,,小野田中学校,オノダチュウガッコウ,,山口県山陽小野田市,大字丸河内,1018[sanitize]2,7560821,33.98108504203318,131.1853269921718,,,2020[sanitize]12[sanitize]22,,353752,,352161,,山口県,山陽小野田市,
C135210000891,C1,35,2,山陽小野田市,2,C135210000908,竜王中学校,竜王中学校松原分校,リュウオウチュウガッコウマツバラブンコウ,,山口県山陽小野田市,大字小野田,4402,7560887,33.958490486331065,131.17515427671967,,,2020[sanitize]12[sanitize]22,,353753,,352161,,山口県,山陽小野田市,
C135210000908,C1,35,2,山陽小野田市,1,,,竜王中学校,リュウオウチュウガッコウ,,山口県山陽小野田市,大字小野田,3923,7560817,33.959324649666414,131.182983493437,,,2020[sanitize]12[sanitize]22,,353754,,352161,,山口県,山陽小野田市,
C135210001337,C1,35,2,山陽小野田市,1,,,厚狭中学校,アサチュウガッコウ,,山口県山陽小野田市,大字山川,841,7570004,34.06079606790213,131.15033648247984,,,2020[sanitize]12[sanitize]22,,354051,,352161,,山口県,山陽小野田市,
C135210001346,C1,35,2,山陽小野田市,1,,,埴生中学校,ハブチュウガッコウ,,山口県山陽小野田市,大字埴生,280,7570012,34.040255891168556,131.09390128165174,,,2020[sanitize]12[sanitize]22,,354052,,352161,,山口県,山陽小野田市,
C135210001355,C1,35,2,山陽小野田市,1,,,厚陽中学校,コウヨウチュウガッコウ,,山口県山陽小野田市,大字郡,3491[sanitize]2,7570002,34.01965183335941,131.14203749085235,,,2020[sanitize]12[sanitize]22,,354053,,352161,,山口県,山陽小野田市,
