全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_ｰ以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
352039,AF1613000001,山口県山口市,保健センター,,,,,,,,174002,山口県山口市糸米二丁目6ｰ6,山口県,山口市,糸米二丁目,6ｰ6,,34.175313,131.461015,,,(083)921-2666,,,,,7530079,,,月火水木金,8:30,17:15,土、日、祝日、年末年始(12月29日から1月3日)は休日,,,,,,,,,,,,,,,,,,,,,,
352039,AF1613000002,山口県山口市,山口市柚野診療所,,,,,,,,124000,山口県山口市徳地柚木378ｰ2,山口県,山口市,徳地柚木,378ｰ2,,34.332511,131.703928,,,(0835)58-0364,,,,,7470402,,,月,13:00,14:30,火水木金土日、祝日、盆(8月13日ｰ16日)、年末年始(12月29日ｰ1月3日)は休日。,内科・外科,,,,,,,,,,,,,,,,,,,,,
352039,AF1613000003,山口県山口市,阿東保健センター,,,,,,,,22000,山口県山口市阿東徳佐中3382,山口県,山口市,阿東徳佐中,3382,,34.397058,131.720777,,,(083)956-0993,,,,,7591512,,,月火水木金,8:30,17:15,土、日、祝日、年末年始は休日,,,,,,,,,,,,,,,,,,,,,,
352039,AF1613000004,山口県山口市,山口市串診療所,,,,,,,,113000,山口県山口市徳地鯖河内1629ｰ1,山口県,山口市,徳地鯖河内,1629ｰ1,,34.196833,131.729549,,,(0835)54-0312,,,,,7470611,,,月,13:00,14:00,火〜日、祝日、年末年始(12月29日ｰ1月3日)は休日。,内科,,,,,,,,,,,,,,,,,,,,,
352039,AF1613000005,山口県山口市,秋穂保健センター,,,,,,,,2000,山口県山口市秋穂東6570,山口県,山口市,秋穂東,6570,,34.01448,131.437497,,,(083)984-8031,,,,,7541101,,,月火水木金,8:30,17:15,保健事業等で職員不在の場合あり。土、日、祝日、年末年始は休日,,,,,,,,,,,,,,,,,,,,,,職員不在時の秋穂保健センターへの電話は転送となり、小郡保健福祉センターでお受けしています。
352039,AF1613000006,山口県山口市,休日・夜間急病診療所,,,,,,,,174002,山口県山口市糸米二丁目6ｰ6,山口県,山口市,糸米二丁目,6ｰ6,,34.175313,131.461015,,,(083)925-2266,,,,,7530079,,,,19:00,22:00,歯科は9:00ｰ13:00(日、祝日、盆(8月14日ｰ16日)、年末年始(12月29日ｰ1月3日)),内科・外科,,,,,,,,,,,,,,,,,,,,,
352039,AF1613000007,山口県山口市,小郡保健福祉センター,,,,,,,,51000,山口県山口市小郡下郷609ｰ5,山口県,山口市,小郡下郷,609ｰ5,,34.102112,131.393171,,,(083)973-8147,,,,,7540002,,,月火水木金,8:30,17:15,土、日、祝日、年末年始は休日,,,,,,,,,,,,,,,,,,,,,,
352039,AF1613000008,山口県山口市,徳地保健センター,,,,,,,,120000,山口県山口市徳地堀1561ｰ1徳地地域複合型拠点施設1階,山口県,山口市,徳地堀,1561ｰ1,徳地地域複合型拠点施設1階,34.19085,131.660516,,,(0835)52-1114,,,,,7470292,,,月火水木金,8:30,17:15,土、日、祝日、年末年始は休日,,,,,,,,,,,,,,,,,,,,,,
352039,AF1613000009,山口県山口市,山口市徳地診療所,,,,,,,,120000,山口県山口市徳地堀1561ｰ1徳地地域複合型拠点施設1階,山口県,山口市,徳地堀,1561ｰ1,徳地地域複合型拠点施設1階,34.19085,131.660516,,,(0835)53-0500,,,,,7470292,,,月火水木金土,9:00,17:00,木土は午後休診、日、祝日、年末年始(12月29日ｰ1月3日)は休日,内科,,,,,,,,,,,,,,,,,,,,,
352039,AF1613000010,山口県山口市,山口総合健診センター,,,,,,,,51000,山口市小郡下郷1773-1,山口県,山口市,小郡下郷,1773ｰ1,,34.099105,131.389972,,,(083)972-4325,,,,,7540002,,,月火水木金土,8:00,13:30,【月〜金】8:00〜9:00/13:00〜13:30【土】8:00〜9:00,,,,,,,,,,,,,,,,,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1118,,,
