全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考
352039,,JJ1001000001,山口県山口市,海眺の宿あいお荘 （国民宿舎）,,,,352039,2000,山口県山口市秋穂東10768ｰ13,山口県,山口市,秋穂東,10768ｰ13,,33.99329123,131.4359418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(083)984-2201,,,,,7541101,,,http://www.aioso.com/,
352039,,JJ1001000002,山口県山口市,十種ヶ峰ウッドパーク,,,,352039,15000,山口県山口市阿東嘉年下11505ｰ1,山口県,山口市,阿東嘉年下,11505ｰ1,,34.452439,131.696362,,,,,,,,,,,,,〇,,,〇,,,,〇,,〇,,,,,〇,,〇,,(083)958-0809,,,,,7591602,,,http://woodpark.jp/,
352039,,JJ1001000003,山口県山口市,山口ふるさと伝承総合センター,,,,352039,91000,山口県山口市下竪小路12番地,山口県,山口市,下竪小路,12,,34.183589,131.478092,,,,9:00,17:00,12月29日から1月5日、8月14日から16日は閉館。,,,,,,,,,,,,,,,,,,,,,,,,,(083)928-3333,,,,,7530034,,,http://y-densho.sblo.jp/,
352039,,JJ1001000004,山口県山口市,重源の郷体験交流公園,,,,352039,117000,山口県山口市徳地深谷1137,山口県,山口市,徳地深谷,1137,,34.213233,131.709865,,,-,,,リニューアル工事の為、休園中。再開は、令和6年度末を予定しています。,,,,,,,,,,,,,,,,,,,,,,,,,(0835)52-1250,,,,,7470235,,,http://www.chogen.co.jp/,
352039,,JJ1001000005,山口県山口市,香山公園前観光案内所,,,,352039,80000,山口県山口市香山町6ｰ11,山口県,山口市,香山町,6ｰ11,（瑠璃光寺五重塔そば）,34.189326,131.473815,,,月火水木金土日,9:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,(083)934-6630,,,,,7530081,,,http://yamaguchi-city.jp/convenience/information.html,
352039,,JJ1001000006,山口県山口市,道の駅「願成就温泉」,,,,352039,20000,山口県山口市阿東徳佐上10002ｰ116,山口県,山口市,阿東徳佐上,10002ｰ116,,34.434246,131.770524,,,月火水木金土日,9:00,21:00,受付は20:30まで。毎月第3水曜日は定休日。,,,,,,,〇,〇,,〇,〇,,,〇,,〇,〇,,〇,〇,〇,,〇,,(083)957-0118,,,,,7591511,,,https://www.ganjojuonsen.com/,
352039,,JJ1001000007,山口県山口市,湯田温泉観光回遊拠点施設「狐の足あと」,,,,352039,155002,山口県山口市湯田温泉二丁目1ｰ3,山口県,山口市,湯田温泉二丁目,1ｰ3,,34.164478,131.45737,,,月火水木金土日,8:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,(083)921-8818,,,,,7530056,,,http://www.yuda-onsen.jp/,
352039,,JJ1001000008,山口県山口市,ふれあいパーク大原湖,,,,352039,115000,山口県山口市徳地野谷605,山口県,山口市,徳地野谷,605,,34.297949,131.683325,,,,,,年末年始（12/29〜1/3）は休館。,,,,,,,,,,,,,,,,,,,,,,,,,(0835)58-0200,,,,,7470401,,,http://www.c-able.ne.jp/~oharako/,
352039,,JJ1001000009,山口県山口市,新山口駅観光交流センター,,,,352039,180001,山口県山口市小郡令和一丁目2ｰ6,山口県,山口市,小郡令和一丁目,2ｰ6,（JR新山口駅北口2階）,34.09408426,131.3960531,,,月火水木金土日,9:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,(083)902-0037,,,,,7540041,,,http://yamaguchi-city.jp/convenience/information.html,
352039,,JJ1001000010,山口県山口市,山口観光案内所,,,,352039,100000,山口県山口市惣太夫町2ｰ1,山口県,山口市,惣太夫町,2ｰ1,（ＪＲ山口駅1階）,34.172795,131.480767,,,月火水木金土日,9:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,(083)933-0090,,,,,7530042,,,http://yamaguchi-city.jp/convenience/information.html,
352039,,JJ1001000011,山口県山口市,新山口駅南口観光案内所,,,,352039,180001,山口県山口市小郡令和一丁目2ｰ1,山口県,山口市,小郡令和一丁目,2ｰ1,（新山口駅新幹線口2階）,34.093056,131.397077,,,月火水木金土日,9:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,(083)972-6373,,,,,7540041,,,http://yamaguchi-city.jp/convenience/information.html,
352039,,JJ1001000012,山口県山口市,湯田温泉観光案内所,,,,352039,155002,山口県山口市湯田温泉二丁目1ｰ23,山口県,山口市,湯田温泉二丁目,1ｰ23,（県道204号線沿い）,34.164199,131.456766,,,月火水木金土日,9:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,(083)901-0150,,,,,7530056,,,http://yamaguchi-city.jp/convenience/information.html,
352039,,JJ1001000013,山口県山口市,森林セラピー山口,,,,352039,115000,山口県山口市徳地野谷1842,山口県,山口市,徳地野谷,1842,,34.189432,131.655559,,,月火水木金,8:30,17:15,原則として土日、祝日、年末年始は休館。,,,,,,,,,,,,,,,,,,,,,,,,,(0835)56-5234,,,,,7470401,,,http://www.shinrin-therapy-yamaguchi.jp/,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
