id,title,text,categories,tags,basename,緯度,経度,adress,eigyoujikan,holiday,parking,phone,price,trafficdata,画像
289,石炭記念館,宇部市発展の基盤となった石炭産業の歴史を後世に伝えるため、1969年（昭和44年）に日本初の石炭記念館として誕生しました。記念館のシンボルとなっている展望台は、東見初炭鉱で実際に使われていた竪坑櫓を移設して造られたものです。館内には、近代化産業遺産に選ばれた3,ときわ公園(51:tokiwapark),,1,33.94646423,131.2854058,則貞三丁目4番1号,,毎週火曜日（祝日の場合は翌日）※春休み・夏休みは開館,"普通車（15分まで）無料,（2時間まで）200円,（3時間まで）300円,（4時間まで）400円,（4時間~1日）500円大型車（2時間まで）800円,（3時間まで）1,200円,（4時間まで）1,600円,（4時間~1日）2,000円※大型車は車高2.5m以上が対象",0836-31-5281,無料,JR宇部新川駅からバス15分／ときわ公園入口バス停下車徒歩約3分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko289.JPG
290,ときわミュージアム本館,"様々な種類のサボテンやランなどが一年を通して楽しめる熱帯植物室（温室）や、窓から彫刻野外展示場を見渡すことのできるカフェなどがあります。
熱帯植物室
約260種3100株の熱帯植物を展示。パパイヤ、バナナ、マンゴーなどの南国果実も！
サボテン室
多種多様な約370種2000株のサボテンを展示。サボテンの花って可憐でかわいいんです。
ラン室
一年を通して楽しめるラン室は高貴な香りに満たされています。",ときわ公園(51:tokiwapark),,2,33.94913425,131.281758,野中三丁目4番29号,9:00～17:00,祝日以外の火曜日、12/29～1/1,"普通車（15分まで）無料,（2時間まで）200円,（3時間まで）300円,（4時間まで）400円,（4時間~1日）500円大型車（2時間まで）800円,（3時間まで）1,200円,（4時間まで）1,600円,（4時間~1日）2,000円※大型車は車高2.5m以上が対象",0836-37-2888,無料,JR宇部新川駅からバス25分／ときわミュージアムバス停下車徒歩2分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko290.JPG
291,宇部市渡辺翁記念会館,宇部市発展の大きく寄与した渡辺祐策の功績を記念して1937年（昭和12年）に建てられた宇部市が誇る昭和の名建築です。建築家・村野藤吾の設計による同館は、昭和初期の近代建築屈指の名作と評価され、2005年（平成17年）には国の重要文化財に指定されました。建築デザインのすばらしさだけでなく、音響効果の優れたホールとしても広く知られています。,南部エリア(49:south),,3,33.95814708,131.2447006,朝日町8番1号,,,,0836-31-7373,,JR宇部新川駅下車徒歩3分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko291.jpg
292,旧宇部銀行館（ヒストリア宇部）,1912年（明治45年）に創立した地元金融機関「宇部銀行」本店として、1939年（昭和14年）、村野藤吾氏の設計で建築されました。現在は「ヒストリア宇部」の愛称で、多目的ホール、喫茶として市民の交流の場となっています。,南部エリア(49:south),,4,33.95114148,131.2461089,新天町一丁目1番1号,9:00～22:00（カフェは11:00～19:00）,毎週第2火曜、12/29～1/3,,0836-37-1400,,市役所前バス停下車徒歩1分,
293,片倉温泉くぼた,神経痛、リウマチ、皮膚病、やけどなどの湯治場として、市民や健康祈願のお地蔵様として名高い北向地蔵に参拝にこられた方に親しまれてきた天然温泉。サウナや露天風呂もあり、一日のんびりできます。,南部エリア(49:south),,5,33.97324477,131.2991016,西岐波下片倉,平日9:00～12:00、17:00～21:00 日曜9:00～21:00,第3水曜,,0836-51-9259,入浴料／大人420円、こども210円,JR宇部線床波駅からバス停「温泉口」下車すぐ,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko293.jpg
294,キワ・ラ・ビーチ,地中海リゾートをイメージしたレジャー施設。キャンプやバーベキュー、穏やかな遠浅の海では潮干狩りや海水浴が楽しめます。,南部エリア(49:south),,6,33.98736227,131.3548166,東岐波岐波,,,,0836-34-8353（宇部市観光交流課）,キャンプ1,,
295,北向地蔵,明治時代から病気回復のお地蔵様として市民に愛され続けています。毎月24日の縁日には臨時バスが往復するほどの賑わいで、年間30～35万人もの参拝客が訪れる人気のお地蔵様です。,南部エリア(49:south),,7,33.98291305,131.3023825,西岐波上片倉,,,,0836-54-2391,,JR宇部新川駅から市営バスで20分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko295.jpg
296,山口宇部空港,空の玄関口である山口宇部空港は、海に見立ててデザインされた建物が印象的な空港です。宇部市はもちろん山口県内のお土産が手に入る場所でもあります。空港東側にはふれあい公園や飛行機を間近に見られる遊歩道などがあり、市民の憩いの場となっています。,南部エリア(49:south),,8,33.93304726,131.2747622,沖宇部625番地,,,約1500台無料,0836-21-5841,,,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko296.jpg
297,宗隣寺,777年（宝亀8年）に始まり、1670年（寛文10年）、宇部領主であった福原氏が寺の再興をはかり菩提所として再建しました。本堂北側にある「龍心庭」は、南北朝時代に築かれた山口県最古の庭園で、小石を敷き詰めた池の浅瀬は「干潟様」と称し、古庭園では岩手県の毛越寺とここにしか現存しない貴重な庭園で、国の名勝庭園に指定されています。,南部エリア(49:south),,9,33.96636648,131.2525035,小串210番地,9:00～17:00,,20台（無料）,0836-21-1087,大人300円　中学生以下150円,宇部市営バス「小串」下車,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko297.jpg
298,福原史跡公園,宇部の領主福原家は毛利藩の永代家老として、萩堀内の屋敷に暮らし、宇部の邸は御田屋（おたや）（遠方の田地を経営するために設けた建物）と呼ばれていました。1976年（昭和51年）、市の史跡公園として開放された園内には、井戸跡、屋敷神、樹木が残存しています。表門は、萩屋敷の正門（県有形文化財）を3分の2に縮小模造したもので、階段は、神原公園にあった福原越後公銅像の台座が使われています。また3月下旬には、「福原まつり」が開かれ、鵜の島開作、常盤池の築造、新川（真締川）開通などの業績を伝えています。,南部エリア(49:south),,10,33.96911744,131.2656462,中尾一丁目,,,,,,JR宇部新川駅からバスで中尾バス停下車、徒歩5分,
299,宇部護国神社,福原越後公を主祭神とし1866年（慶応2年）に創建されました。日本庭園の装飾の一つ「水琴窟（すいきんくつ）」は日本最大級の大きさを誇り、水滴が落ちると琴のような音色が響き、参拝者の心を和ませます。また市内でも有数の桜鑑賞スポットとして有名で、開花時期にはぼんぼりも提げられます。,南部エリア(49:south),,11,33.97111105,131.257512,維新山,,,,0836-21-4543,,JR宇部新川駅から車で10分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko299.jpg
300,霜降山,1179年（治承三年）、長門を本拠とした厚東武光が霜降城を築いた山です。標高250mで現在はハイキングコースとして親しまれているほか、銘水を汲みに訪れる市民の姿も。,南部エリア(49:south),,12,34.01600554,131.2578531,善和,,,,,,,
301,宇部かま,霜降山の天然水と、選りすぐりの新鮮な魚を材料に、こだわりの海水塩を使って作られる宇部自慢のかまぼこは歯ごたえがあって美味！直売店もあり、贈答品としても大人気です。,南部エリア(49:south),,13,33.99535524,131.2725274,大字川上697番地20,,,,0120-979-117,,山陽自動車道宇部I.C.から車で5分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko301.jpg
302,永山本家酒造場,1888年（明治21年）創業の蔵で、地酒として親しまれている「男山」をはじめ、100%純米酒「貴」など、厚東川が源流の水を使用、自社水田で作られる米にこだわり作られています。,南部エリア(49:south),,14,34.05791525,131.2903768,車地138番地,,,,0836-62-0088,,JR厚東駅から車で8分,
303,持世寺温泉　上の湯,戦国時代の武士が傷を癒したと言われる古い歴史を持つ温泉。リウマチ、外傷など幅広い効能があり、連日多くの湯治客で賑わっています。露天風呂、家族風呂、サウナなど7種類のお湯が楽しめる温泉センターには、エステ、食堂、豆腐工房など施設も充実。,南部エリア(49:south),,15,34.03396943,131.2597504,吉見持世寺2925番地,8:30～20:00,毎週水曜,,0836-62-0013,温泉センター／大人1,,
304,持世寺温泉　杉野湯,戦国時代の武士が傷を癒したと言われる古い歴史を持つ温泉。リウマチ、外傷など幅広い効能があり、連日多くの湯治客で賑わっています。源泉がそのまま楽しめる内湯があります。,南部エリア(49:south),,16,34.03236903,131.258935,吉見持世寺2910番地,平日7:30～19:30／土日祝日7:30～18:30,毎週水曜,,0836-62-0020,大人460円、小人300円（各1時間）,JR山陽本線厚東駅からバスで2分、徒歩10分,
305,琴崎八幡宮,山口県内の大社として知られる神社。初詣や季節の祭などでは多くの市民で賑い、600種類以上の豊富なお守りがあることで有名です。,南部エリア(49:south),,17,33.97261929,131.2705127,上宇部大小路,,,,0836-21-0008,,山陽自動車道宇部I.C.から車で約3分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko305.jpg
306,荒滝山,中世、大内氏の重臣　内藤隆春の山城がありました。登山道が敷かれ多くの市民がトレッキングを楽しんでいます。,北部エリア(50:north),,18,34.15386428,131.296914,東吉部,,,,,,山陽自動車道宇部I.C.から車で45分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko306.JPG
307,今富ダム公園,今富ダムの湖畔に広がる公園は桜の名所。遊歩道が整備され、家族連れなどで賑わいます。,北部エリア(50:north),,19,34.09241151,131.2535247,今富,,,,,,山陽自動車道宇部I.C.から車で35分,
308,アクトビレッジおの,小野湖の大自然を満喫できる体験学習施設。カヌーやボート、キャンプ、そば打ち体験など楽しいイベントがたくさん！,北部エリア(50:north),,20,34.10356609,131.3086881,小野7025番地,9:00～22:00,12/29～1/3,,0836-64-5111,無料,山陽自動車道宇部I.C.から車で25分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko308.jpg
309,小野湖,ダム湖100選に選ばれている人工湖。湖水からは、ワカサギ、コイ、フナのほか琵琶湖と小野湖のみ生息する珍魚ワダカもよく釣れます。日本で有数のオシドリの飛来地としても有名です。,北部エリア(50:north),,21,34.08131994,131.293115,,,,,,,,
310,楠こもれびの郷,温浴施設、農産物直売所、地元食材にこだわった農家レストラン、研修・体験ができる農園からなる複合施設です。世代を問わず、ゆったりのんびりくつろげるいやしの空間。,北部エリア(50:north),,22,34.0699824,131.2440545,西万倉1662番地,,,,,,山陽自動車道宇部I.C.から車で30分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko310.jpg
311,くすくすの湯,源泉掛け流しの天然温泉。浴室は総ひのき作りで、木の香りに包まれたいやしの時間が過ごせます。家族風呂（3名様以上・要予約）や露天風呂、石風呂も完備。,北部エリア(50:north),,23,34.06977314,131.2443905,西万倉1662番地,10:00～21:00（受付は20:00）,第3水曜,,0836-67-2617,大人／600円　小人／300円　家族風呂／1000円（1時間）,,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko311.jpg
312,楠四季菜市,その日の朝に収穫された野菜が並ぶ直売所。四季折々、新鮮な自然の恵みをどうぞ。,北部エリア(50:north),,24,34.06988779,131.2439191,西万倉1662番地,9:00～19:00,第3水曜,,0836-67-0204,,,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko312.jpg
313,農家レストランつつじ,楠ならではの食材を地元の主婦が美味しく調理。くつろぎの食卓で、旬のメニューをお楽しみください。,北部エリア(50:north),,25,34.07,131.2442272,西万倉1662番地,11:00～20:00（受付は19:30）,第3水曜,,0836-67-2617,,,
314,農業研修交流施設　万農塾,新しく農業に取り組みたい人への研修施設や、さまざまな農業体験を行う研修交流の場。楽しく農業に触れることができます。,北部エリア(50:north),,26,34.06953574,131.244024,西万倉1662番地,,,,,,,
315,吉部の大岩郷,「昔、大男が担いでいた天秤から大岩がこぼれ落ちてきた」という吉部の大岩郷。約3ヘクタールにわたって巨大な石塊が数段に重なり運河のようになっています。,北部エリア(50:north),,28,34.12142557,131.2648845,西吉部大岩郷,,,,,,山陽自動車道宇部I.C.から車で45分,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko315.jpg
316,岡崎八幡宮,全国でも４社しかない清酒醸造許可を持つ神社。樹齢700～800年のクスノキの大樹が印象的。,北部エリア(50:north),,29,34.04541653,131.2273043,船木392番地,,,,0836-67-0071,,山陽自動車道宇部I.C.から車で25分,
317,赤間硯の里,赤間硯の歴史は古く1191年（建久2年）に鎌倉の鶴岡八幡宮に奉納されたと言われています。原石は粘りがあり細工がしやすいため、美しい紋様を施した優美な硯は実用を兼ねた愛好品として親しまれています。1976年（昭和51年）に国指定伝統的工芸品に指定されました。,,,,,,,,,,,,,
"山口県赤間硯生産協同組合（見学には事前予約が必要）""",北部エリア(50:north),,30,34.08801891,131.2261185,西万倉岩滝793番地,9:00～17:00,年末年始他不定休,34.087271,131.224817,,山陽自動車道宇部I.C.から車で40分,,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/kanko/kanko317.jpg,
318,たましげ琴製作所,厳選された桐材を、一つひとつじっくりと伝統の手法で作り上げる工程は、まさに名人技の名にふさわしく、箏曲演奏家に多く愛用されています。楠地区では、午後6時（冬場は午後5時）になると「家路」という琴曲が響きます。外で遊んでいる子どもたちに、「早くおうちにかえりなさい」とやさしく伝えている趣深い習慣です。,北部エリア(50:north),,31,34.04519977,131.2199669,船木692-2,9:00～17:00,,,0836-67-0175,,山陽自動車道宇部I.C.から車で30分,
723,学びの森くすのき,施設内のご案内,,,,,,,,,,,,,
図書館,,,,,,,,,,,,,,,
