番号,施設名称,施設の種別,緯度,経度,郵便番号,住所,電話番号,利用可能日,利用可能開始時間,利用可能終了時間,設置階数,ドアの種別,ドアの属性,ドアのガラスの有無,便座スペースの方向,手すりの形状,補助器具等の有無と形状,非常用ボタンの有無,手洗い場下面における床からの高さ,鏡の有無,水道・自動か手動か,水道・手動の場合のハンドルの形状,温水の有無,石鹸の種類,照明・自動か手動か,照明・スイッチの床からの高さ,トイレットペーパーの床からの高さ,ウォシュレットの有無,ウォシュレットのスイッチの床からの高さ,水洗・自動か手動か,水洗用のスイッチまたはレバーの場所（未使用）,坂の有無,舗装の有無,スロープの有無,段差の有無,階段の有無,エレベータの有無,障がい者用駐車場の有無,駐車場台数,トイレまでの屋根の有無,オストメイトの有無,オムツ替え台の有無,ベビーチェアの有無,荷物や服等をかけるフックの有無,その他複雑な操作を必要とする機能の有無,画像,画像1,画像2,画像3,画像4,
22,ときわ公園（ときわ少年キャンプ場）,公園,33.948987,131.288758,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,65㎝,有,自動,-,水のみ,無,自動,-,75㎝・110㎝,無,-,手動（スイッチ）,,無,-,無,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_022_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_022_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_022_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_022_04.jpg,,
23,ときわ公園（ときわ湖畔北キャンプ場）,公園,33.960938,131.290012,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,65㎝,有,手動,左右に動かすレバー,水のみ,無,手動,105㎝,80㎝,無,-,手動（スイッチ）,,無,-,有,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_023_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_023_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_023_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_023_04.jpg,,
24,ときわ動物園（ときわ動物園入口付近）,動物園,33.946253,131.283382,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日　※火を除く,9時30分,17時,-,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,65㎝,有,自動・オストメイトは手動,オストメイトは左右に動かすレバー,水のみ・オストメイトは水とお湯,液体,自動,-,80㎝,有,100㎝,手動（スイッチ）,,無,-,無,無,無,無,無,無,無,有,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_024_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_024_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_024_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_024_04.jpg,,
25,ときわ動物園（ときわ動物園内）,動物園,33.944817,131.282633,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日　※火を除く,9時30分,17時,-,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,65㎝,有,自動・オストメイトは手動,オストメイトは左右に動かすレバー,水のみ・オストメイトは水とお湯,液体,自動,-,75㎝,有,95㎝,手動（スイッチ）,,無,-,無,無,無,無,無,無,無,有,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_025_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_025_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_025_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_025_04.jpg,,
26,ときわ遊園地（ときわ遊園地内）,遊園地,33.945071,131.282609,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日　※火を除く,9時30分,17時,-,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,65㎝,有,自動・オストメイトは手動,オストメイトは左右に動かすレバー,水のみ・オストメイトは水とお湯,液体,自動,-,80㎝,有,100㎝,手動（スイッチ）,,無,-,無,無,無,無,無,無,無,有,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_026_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_026_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_026_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_026_04.jpg,,
27,ときわ公園（ときわレストハウス）,無料休憩施設,33.946852,131.283674,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,9時,17時,1階,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,65㎝,有,手動,左右に動かすレバー,水のみ,無,自動,-,75㎝,有,45㎝,手動（スイッチ）,,無,-,無,無,無,有,有,5台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_027_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_027_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_027_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_027_04.jpg,,
28,ときわ公園（ときわ湖水ホール1階）,文化・教育施設,33.948085,131.287961,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,9時,17時（施設利用予約あり）・22時（施設利用予約なし）,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,無,65㎝,有,手動,左右に動かすレバー,水のみ,固形,手動,100㎝,85㎝,無,-,手動（スイッチ）,,無,-,有,無,有,有,有,7台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_028_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_028_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_028_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_028_04.jpg,,
29,ときわ公園（ときわ湖水ホール2階）,文化・教育施設,33.948085,131.287961,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,9時,17時（施設利用予約あり）・22時（施設利用予約なし）,2階,引き戸,手動,有,右,L字手すり、可動式手すり,無,無,65㎝,有,手動,上下に動かすレバー,水のみ,無,手動,75㎝,85㎝,無,-,自動,,無,-,有,無,有,有,有,7台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_029_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_029_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_029_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_029_04.jpg,,
30,西岐波市民センター,支所・市民センター,33.954578,131.312134,755-0153,山口県宇部市床波六丁目5番22号,0836-51-9001,月-金　※祝日、12月29日～1月3日を除く,8時30分,17時15分,１階,引き戸,手動,有,右,L字手すり、可動式手すり,可動式手すり,無,70ｃｍ,有,手動,左右に動かすレバー,水のみ,液体,手動,100ｃｍ,90ｃｍ,無,-,手動（スイッチ）,,無,-,有,有,有,無,有,2台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_030_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_030_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_030_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_030_04.jpg,,
31,厚南市民センター,支所・市民センター,33.994162,131.217845,759-0212,山口県宇部市厚南中央三丁目１番２号,0836-41-8320,月-金　※祝日、12月29日～1月3日を除く,8時30分,17時15分,１階,引き戸,自動,有,右,L字手すり、可動式手すり,無,有,65㎝,有,手動,左右に動かすレバー,水のみ,液体,手動,78㎝,85㎝,無,-,手動（レバー）,,無,-,有,無,無,無,有,1台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_031_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_031_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_031_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_031_04.jpg,,
32,原市民センター,支所・市民センター,33.971335,131.202569,759-0204,山口県宇部市大字妻崎開作1990番地,0836-41-8349,月-金　※祝日、12月29日～1月3日を除く,8時30分,17時15分,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,65ｃｍ,有,手動,左右に動かすレバー,水のみ,固形,自動,ー,90ｃｍ,無,-,手動（スイッチ）,,無,-,有,無,無,無,有,2台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_032_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_032_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_032_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_032_04.jpg,,
33,常盤ふれあいセンター,ふれあいセンター・隣保館,33.944498,131.288426,755-0002,山口県宇部市亀浦一丁目1番50号,0836-22-1455,月-日　※12月29日～1月3日を除く,8時30分,22時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,70㎝,有,手動,左右に動かすレバー,水のみ,泡（手動）,手動,115㎝,90㎝,無,-,手動（スイッチ）,,有,アスファルト,有,有,有,無,無,-,無,無,無,有,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_033_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_033_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_033_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_033_04.jpg,,
34,恩田ふれあいセンター,ふれあいセンター・隣保館,33.939507,131.271776,755-0004,山口県宇部市草江一丁目6番7号,0836-21-0349,月-日,24時間,24時間,恩田ふれあいセンター別館、簡易保険融資施設,引き戸,手動,有,右,L字手すり、可動式手すり,可動式手すり,無,65ｃｍ,有,手動,左右に動かすレバー,無,ハンドソープ,手動,110ｃｍ,85ｃｍ,有,100ｃｍ,手動（スイッチ）,,無,-,無,無,無,無,無,-,有,無,無,有,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_034_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_034_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_034_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_034_04.jpg,,
35,神原ふれあいセンター,ふれあいセンター・隣保館,33.947199,131.25385,755-0026,山口県宇部市松山町一丁目5番１6号,0836-32-6280,月-日　※12月29日～1月3日を除く,8時30分,20時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,74㎝,有,手動,左右に動かすレバー,水のみ,液体,自動,-,88㎝,無,-,手動（スイッチ）,,有,アスファルト,有,無,無,無,有,2台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_035_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_035_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_035_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_035_04.jpg,,
36,琴芝ふれあいセンター,ふれあいセンター・隣保館,33.952889,131.263271,755-0037,山口県宇部市西梶返二丁目10番1号,0836-21-1534,月-日　※12月29日～1月3日を除く,8時30分,22時,１階（出入口は建物外にある）,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,65ｃｍ,有,手動,左右に動かすレバー,水のみ,液体,手動,65ｃｍ,65ｃｍ,無,-,手動（スイッチ）,,有,アスファルト,有,無,無,無,有,1台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_036_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_036_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_036_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_036_04.jpg,,
37,川上ふれあいセンター,ふれあいセンター・隣保館,33.976482,131.279339,755-0084,山口県宇部市大字川上81番地1,0836-35-1150,月-日　※12月29日～1月3日を除く,8時30分,22時,１階,引き戸,手動,有,左,L字手すり、可動式手すり,可動式手すり,無,60ｃｍ,無,手動,左右に動かすレバー,水のみ,液体,手動,107ｃｍ,85ｃｍ,無,-,手動（スイッチ）,,無,-,有,無,有,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_037_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_037_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_037_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_037_04.jpg,,
38,鵜の島ふれあいセンター,ふれあいセンター・隣保館,33.962069,131.238047,755-0062,山口県宇部市鵜の島町7番6号,0836-31-1862,月-日　※12月29日～1月3日を除く,8時30分,22時,1階,引き戸,手動,無,左右両方,L字手すり、可動式手すり,無,有,77ｃｍ,無,手動,上下に動かすレバー,水のみ,液体,手動,100ｃｍ,85ｃｍ,無,-,手動（スイッチ）,,有,アスファルト,有,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_038_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_038_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_038_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_038_04.jpg,,
39,西宇部ふれあいセンター,ふれあいセンター・隣保館,34.005333,131.220297,759-0211,山口県宇部市西宇部北三丁目9番15号,0836-44-0878,月-日　※12月29日～1月3日を除く,8時30分,22時,１階,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,67㎝,有,手動,左右に動かすレバー,水のみ,無,自動,-,90㎝,無,-,手動（レバー）,,無,-,有,無,無,無,有,2台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_039_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_039_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_039_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_039_04.jpg,,
40,黒石ふれあいセンター,ふれあいセンター・隣保館,33.984116,131.207701,759-0213,山口県宇部市黒石北三丁目2番37-12号,0836-44-0881,月-日　※12月29日～1月3日を除く,8時30分,22時,１階,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,63㎝,有,手動,左右に動かすレバー,水のみ,固形,自動,-,85㎝,無,-,手動（レバー）,,無,-,無,無,無,無,有,2台,無,有,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_040_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_040_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_040_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_040_04.jpg,,
41,東岐波ふれあいセンター,ふれあいセンター・隣保館,33.980983,131.339512,755-0241,山口県宇部市大字東岐波3829番地,0836-58-2098,月-日　※12月29日～1月3日を除く,8時30分,22時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,無,76cm,無,手動,通常の蛇口型,水のみ,無,手動,94cm,75cm,無,-,手動（スイッチ）,,有,コンクリート,有,無,無,無,有,1台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_041_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_041_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_041_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_041_04.jpg,,
42,厚東ふれあいセンター,ふれあいセンター・隣保館,34.024276,131.249017,755-0121,山口県宇部市大字棚井68番地2,0836-62-0049,月-日　※12月29日～1月3日を除く,8時30分,20時,1階,引き戸,手動,無,右,L字手すり、可動式手すり,無,有,65cm,有,手動,左右に動かすレバー,水のみ,泡（手動）,自動,-,85cm,無,-,手動（レバー）,,無,アスファルト,有,無,無,無,有,1台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_042_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_042_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_042_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_042_04.jpg,,
43,二俣瀬ふれあいセンター,ふれあいセンター・隣保館,34.056559,131.29178,759-0133,山口県宇部市大字車地字寮ノ河内１７３,0836-62-0068,月-日　※12月29日～1月3日を除く,8時30分,22時,１階,引き戸,手動,有,左,L字手すり、可動式手すり,無,無,70㎝,有,手動,左右に動かすレバー,水のみ,泡（手動）,手動,120㎝,90㎝,無,-,手動（レバー）,,無,-,有,無,,無,有,1台,無,無,無,有,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_043_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_043_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_043_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_043_04.jpg,,
44,小野ふれあいセンター,ふれあいセンター・隣保館,34.116579,131.32036,754-1311,山口県宇部市大字小野字山根8294番地4,0836-64-2024,月-日　※12月29日～1月3日を除く,8時30分,22時,１階,引き戸,手動,有,右,L字手すり、可動式手すり,可動式手すり,無,70ｃｍ,有,手動,左右に動かすレバー,水のみ,無,手動,100ｃｍ,85ｃｍ,無,-,手動（スイッチ）,,無,-,有,無,無,無,有,有,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_044_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_044_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_044_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_044_04.jpg,,
