番号,施設名称,施設の種別,緯度,経度,郵便番号,住所,電話番号,利用可能日,利用可能開始時間,利用可能終了時間,設置階数,ドアの種別,ドアの属性,ドアのガラスの有無,便座スペースの方向,手すりの形状,補助器具等の有無と形状,非常用ボタンの有無,手洗い場下面における床からの高さ,鏡の有無,水道・自動か手動か,水道・手動の場合のハンドルの形状,温水の有無,石鹸の種類,照明・自動か手動か,照明・スイッチの床からの高さ,トイレットペーパーの床からの高さ,ウォシュレットの有無,ウォシュレットのスイッチの床からの高さ,水洗・自動か手動か,水洗用のスイッチまたはレバーの場所（未使用）,坂の有無,舗装の有無,スロープの有無,段差の有無,階段の有無,エレベータの有無,障がい者用駐車場の有無,駐車場台数,トイレまでの屋根の有無,オストメイトの有無,オムツ替え台の有無,ベビーチェアの有無,荷物や服等をかけるフックの有無,その他複雑な操作を必要とする機能の有無,画像,画像1,画像2,画像3,画像4,
45,万倉ふれあいセンタ－,ふれあいセンター・隣保館,34.071258,131.242767,757-0214,山口県宇部市大字西万倉宮ノ下1672番地,0836-67-0201,月-日　※12月29日～1月3日を除く,8時30分,22時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,可動式手すり,有,75cm,有,自動,-,水のみ,泡（手動）,手動,100cm,86cm,無,-,手動（レバー）,,無,-,有,無,有,無,有,2台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_045_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_045_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_045_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_045_04.jpg,,
46,吉部ふれあいセンター,ふれあいセンター・隣保館,34.12511,131.282622,757-0401,山口県宇部市大字東吉部3330番地7,0836-68-0001,月-日　※12月29日～1月3日を除く,8時30分,22時,１階,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,65㎝,有,自動,-,水のみ,固形,手動,107㎝,88㎝,無,-,手動（レバー）,,有,アスファルト,有,無,無,無,有,2台,有,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_046_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_046_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_046_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_046_04.jpg,,
47,渡辺翁記念会館　外縁部,その他,33.957617,131.245982,755-0067,山口県宇部市朝日町8番1号,0836-31-7373,月-日,24時間,24時間,-,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,65cm,有,手動,回転ハンドル,水のみ,無,手動,男性トイレ97cm、女性トイレ95cm,96cm,無,-,手動（スイッチ）,,無,-,無,無,無,無,有,3台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_047_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_047_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_047_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_047_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_047_05.jpg,
48,黄幡公園,公園,33.962726,131.24521,755-0067,山口県宇部市大字小串973番地,-,月-日,24時間,24時間,-,引き戸,手動,有,左,L字手すり、可動式手すり,可動式手すり,有,65cm,有,手動,左右に動かすレバー,水のみ,無,手動,95cm,右側105cm・左側58cm,無,-,,,無,-,無,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_048_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_048_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_048_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_048_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_048_05.jpg,
49,藤山ふれあいセンター,ふれあいセンター・隣保館,33.974778,131.227617,755-0056,山口県宇部市文京町11番13号,0836-21-1608,月-金　※12月29日～1月3日を除く,8時30分,22時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,70cm,有,手動,レバー,水のみ,無,手動,93cm,80cm,無,-,手動（スイッチ）,,無,-,有,無,有,無,有,1台,無,無,無,有,無,丸椅子1台有,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_049_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_049_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_049_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_049_04.jpg,,
50,多世代ふれあいセンター（4階）,文化・教育施設,33.953128,131.252694,755-0033,山口県宇部市琴芝町二丁目4番25号,0836-22-4371,月-日　※毎月第３水曜日、年末年始を除く,9時,22時,4階,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,70cm,有,自動,-,水のみ,固形,手動,95cm,90cm,有,55cm,手動（スイッチ）,,無,-,無,無,無,有,有,2台,無,無,無,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_050_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_050_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_050_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_050_04.jpg,,
51,多世代ふれあいセンター（5階）,文化・教育施設,33.953128,131.252694,755-0033,山口県宇部市琴芝町二丁目4番25号,0836-22-4371,月-日　※毎月第３水曜日、年末年始を除く,9時,22時,5階,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,70cm,有,自動,-,水のみ,固形,手動,95cm,90cm,有,55cm,手動（スイッチ）,,無,-,無,無,無,有,有,2台,無,無,無,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_051_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_051_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_051_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_051_04.jpg,,
52,船木ふれあいセンター,ふれあいセンター・隣保館,34.045232,131.224957,757-0216,山口県宇部市大字船木179番地1,0836-67-1183,月-日　※12月29日～1月3日を除く,9時,22時,1階,引き戸,手動,有,右,L字手すり、可動式手すり,可動式手すり,有,65cm,有,自動,-,水のみ,泡（手動）,自動,-,85cm,無,-,手動（スイッチ）,,無,-,有,無,無,無,有,1台,無,有,無,有,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_052_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_052_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_052_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_052_04.jpg,,
53,ユーピーアールスタジアム(屋内入口側）,スポーツ・レクリエーション施設,33.945377,131.268638,755-0023,山口県宇部市恩田町四丁目1番4号,0836-29-0089,月-日　※12月29日～1月3日を除く,8時,21時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,可動式手すり,有,70cm,有,手動,レバー,水のみ,固形,手動,90cm,90cm,有,49cm,手動（レバー）,,無,-,無,無,無,無,有,3台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_053_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_053_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_053_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_053_04.jpg,,
54,ユーピーアールスタジアム(屋内奥側）,スポーツ・レクリエーション施設,33.945164,131.268852,755-0023,山口県宇部市恩田町四丁目1番4号,0836-29-0089,月-日　※12月29日～1月3日を除く,8時,21時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,可動式手すり・背もたれ,有,70cm,有,手動,レバー,水のみ,固形,手動,87cm,90cm,有,49cm,手動（レバー）,,無,-,無,無,無,無,有,3台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_054_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_054_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_054_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_054_04.jpg,,
55,ユーピーアールスタジアム1塁側（屋外）,スポーツ・レクリエーション施設,33.944885,131.267573,755-0023,山口県宇部市恩田町四丁目1番4号,0836-29-0089,月-日　※12月29日～1月3日を除く（通常時施錠）,8時（通常時施錠）,21時（通常時施錠）,1階,引き戸,手動,有,左,L字手すり、可動式手すり,可動式手すり,有,90cm,有,手動,レバー,水のみ,固形,手動,86cm,93cm,無,-,手動（レバー）,,無,-,無,有,無,無,有,3台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_055_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_055_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_055_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_055_04.jpg,,
56,ユーピーアールスタジアム3塁側（屋外）,スポーツ・レクリエーション施設,33.944525,131.269241,755-0023,山口県宇部市恩田町四丁目1番4号,0836-29-0089,月-日　※12月29日～1月3日を除く（通常時施錠）,8時（通常時施錠）,21時（通常時施錠）,1階,引き戸,手動,有,右,L字手すり、可動式手すり,可動式手すり,有,90cm,有,手動,レバー,水のみ,固形,手動,86cm,93cm,無,-,手動（レバー）,,無,-,無,無,無,無,有,3台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_056_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_056_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_056_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_056_04.jpg,,
57,俵田翁体育館（北側）,スポーツ・レクリエーション施設,33.946979,131.271808,755-0023,山口県宇部市恩田町四丁目1番1号,0836-31-1506,月-日　※12月29日～1月3日を除く,8時,22時,1階,引き戸,自動,有,左,L字手すり、可動式手すり,無,有,70cm,有,手動,レバー,有,固形,自動,,90cm,有,50cm,手動,,無,-,無,無,無,無,有,3台,無,無,有,有,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_057_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_057_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_057_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_057_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_057_05.jpg,
58,俵田翁体育館（南側）,スポーツ・レクリエーション施設,33.946518,131.272127,755-0023,山口県宇部市恩田町四丁目1番1号,0836-31-1506,月-日　※12月29日～1月3日を除く,8時,22時,1階,引き戸,自動,有,右,L字手すり、可動式手すり,無,有,70cm,有,手動,レバー,有,固形,自動,,90cm,有,50cm,手動,,無,-,無,無,無,無,有,3台,無,有,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_058_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_058_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_058_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_058_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_058_05.jpg,
59,俵田翁体育館（女子）,スポーツ・レクリエーション施設,33.9472035,131.2722,755-0023,山口県宇部市恩田町四丁目1番1号,0836-31-1506,月-日　※12月29日～1月3日を除く,8時,22時,1階,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,76cm,有,手動,ボタン,有,固形,自動,,85cm,有,105cm,手動,,無,-,無,無,無,無,有,3台,無,有,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_059_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_059_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_059_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_059_04.jpg,,
60,俵田翁体育館（男子）,スポーツ・レクリエーション施設,33.9467,131.2726,755-0023,山口県宇部市恩田町四丁目1番1号,0836-31-1506,月-日　※12月29日～1月3日を除く,8時,22時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,76cm,有,手動,ボタン,有,固形,自動,,85cm,有,105cm,手動,,無,-,無,無,無,無,有,3台,無,有,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_060_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_060_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_060_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_060_04.jpg,,
61,岬ふれあいセンター,ふれあいセンター・隣保館,33.93550316,131.2594671,755-0026,山口県宇部市松山町５丁目８ー１０,0836-21-1625,月-日　※12月29日～1月3日を除く,8時30分,20時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,75cm,有,自動,,水のみ,液体,自動,,70cm,無,70cm,手動（スイッチ）,,無,無,有,無,無,有,有,2台,無,有,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_061_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_061_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_061_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_061_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_061_05.jpg,
62,宇部市役所本庁舎一期棟（一階）,市役所,33.95184893,131.2476171,755-8601,山口県宇部市常盤町一丁目7番1号,0836-31-4111,月-金　※祝日、12月29日～1月3日を除く,8時30分,17時15分,1階,引き戸,手動,有,左,L字手すり、可動式手すり,背もたれ,有,68cm,有,自動,,水のみ,液体,自動,,54cm,有,70cm,自動,,有,有,有,無,無,有,有,7台,有,有,有,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_062_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_062_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_062_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_062_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_062_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_062_05.jpg
63,宇部市役所本庁舎一期棟（二階）,市役所,33.9518,131.2474,755-8601,山口県宇部市常盤町一丁目7番1号,0836-31-4111,月-金　※祝日、12月29日～1月3日を除く,8時30分,17時15分,2階,引き戸,手動,有,右,L字手すり、可動式手すり,背もたれ,有,68cm,有,自動,,水のみ,液体,自動,,54cm,有,70cm,自動,,有,有,有,無,無,有,有,7台,有,有,有,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_063_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_063_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_063_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_063_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_063_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_063_05.jpg
64,宇部市役所本庁舎一期棟（三階）,市役所,33.952,131.2473,755-8601,山口県宇部市常盤町一丁目7番1号,0836-31-4111,月-金　※祝日、12月29日～1月3日を除く,8時30分,17時15分,3階,引き戸,手動,有,右,L字手すり、可動式手すり,背もたれ,有,68cm,有,自動,,水のみ,液体,自動,,54cm,有,70cm,自動,,有,有,有,無,無,有,有,7台,有,有,有,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_064_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_064_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_064_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_064_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_064_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_064_05.jpg
65,宇部市役所本庁舎一期棟（四階）,市役所,33.95205,131.24733,755-8601,山口県宇部市常盤町一丁目7番1号,0836-31-4111,月-金　※祝日、12月29日～1月3日を除く,8時30分,17時15分,4階,引き戸,手動,有,左,L字手すり、可動式手すり,背もたれ,有,68cm,有,自動,,水のみ,液体,自動,,54cm,有,70cm,自動,,有,有,有,無,無,有,有,7台,有,有,有,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_065_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_065_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_065_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_065_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_065_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_065_05.jpg
66,宇部市役所本庁舎一期棟（五階）,市役所,33.95204,131.2472,755-8601,山口県宇部市常盤町一丁目7番1号,0836-31-4111,月-金　※祝日、12月29日～1月3日を除く,8時30分,17時15分,5階,引き戸,手動,有,右,L字手すり、可動式手すり,背もたれ,有,68cm,有,自動,,水のみ,液体,自動,,54cm,有,70cm,自動,,有,有,有,無,無,有,有,7台,有,有,有,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_066_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_066_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_066_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_066_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_066_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_066_05.jpg
